Наименование;Артикул;Замена;АЗамена
Контактор релейный OptiStart KG3-07D04-110DC;117304;;
Контактор релейный OptiStart KG3-07D04-220DC;117305;;
Контактор OptiStart K3-14ND01-110AC;116930;;
Контактор OptiStart K3-14ND10-400AC;116928;;
Контактор OptiStart K3-10ND10=24DC;117230;;
Мини-контактор OptiStart K1-09D00-40-24AC/DC;117580;;
Мини-контактор OptiStart K1-09D00-40-230AC/DC;117581;;
Провод соединительный OptiStart LG5830-2;117524;;
Контактор OptiStart K3-14NA00-40-230AC;116998;;
Контактор OptiStart K3-10ND10=220DC;117233;;
Контактор OptiStart K3-10ND01=220DC;117237;;
Контактор OptiStart K3-14NA00-40-400AC;116999;;
Защелка для контакторов OptiStart K2-L22-400;117847;;
Мини-контактор реверсивный OptiStart K1W-09L10-MC=24DC;117377;;
Контактор OptiStart K3-10NA00-40-400AC;116995;;
Реле перегрузки тепловое OptiStart TU12/16E-1,2CM;117415;;
Реле перегрузки тепловое OptiStart TU12/16E-2,7CM;117417;;
Реле перегрузки тепловое OptiStart TU12/16E-4CM;117418;;
Реле перегрузки тепловое OptiStart TU12/16A-0,18CM;117439;;
Реле перегрузки тепловое OptiStart TU12/16A-0,27CM;117440;;
Реле перегрузки тепловое OptiStart TU12/16A-0,4CM;117441;;
Реле перегрузки тепловое OptiStart TU12/16A-0,6CM;117442;;
Реле перегрузки тепловое OptiStart TU12/16A-0,9CM;117443;;
Реле перегрузки тепловое OptiStart TU12/16A-1,2CM;117444;;
Реле перегрузки тепловое OptiStart TU12/16A-1,8CM;117445;;
Реле перегрузки тепловое OptiStart TU12/16A-2,7CM;117446;;
Реле перегрузки тепловое OptiStart TU12/16A-4CM;117447;;
Адаптер шинный OptiStart MP-32-SA60;115673;;
Механизм поворотный на дверь OptiStart MP-63R-EHN1-115;116892;;
Контактор OptiStart K3-14ND01=220DC;117245;;
Защелка для контакторов OptiStart K2-L40-400;117851;;
Мини-контактор реверсивный OptiStart K1W-12D00-40MC-230AC;117146;;
Мини-контактор реверсивный OptiStart K1W-09D10-MC-24AC;117117;;
Мини-контактор реверсивный OptiStart K1W-09D01-MC-24AC;117125;;
Реле перегрузки тепловое OptiStart TU12/16E-0,6CM;117413;;
Реле перегрузки тепловое OptiStart TU12/16E-9CM;117420;;
Блокировка механическая OptiStart LG11223H;117865;;
Контактор OptiStart K3-18ND10=110DC;117248;;
Контактор OptiStart K3-18ND01=110DC;117252;;
Реле перегрузки тепловое OptiStart TU12/16E-0,9CM;117414;;
Контактор OptiStart K3-18ND10-230AC;116935;;
Контактор OptiStart K3-18ND10-400AC;116936;;
Защелка для контакторов OptiStart K2-L22-110;117845;;
Защелка для контакторов OptiStart K2-L40-110;117849;;
Контактор OptiStart K3-18ND01=220DC;117253;;
Мини-контактор OptiStart K1-12D01-24AC/DC;117570;;
Контактор OptiStart K3-18ND10=60DC;117247;;
Контактор OptiStart K3-18ND01=60DC;117251;;
Мини-контактор реверсивный OptiStart K1W-12D10-MC-24AC;117121;;
Мини-контактор реверсивный OptiStart K1W-12D01-MC-24AC;117129;;
Реле перегрузки тепловое OptiStart TU12/16E-14CM;117422;;
Реле перегрузки тепловое OptiStart TU12/16A-9CM;117449;;
Реле перегрузки тепловое OptiStart TU12/16A-11CM;117450;;
Реле перегрузки тепловое OptiStart TU12/16A-14CM;117451;;
Контактор OptiStart KG3-10A10-48DC;117183;;
Контактор OptiStart KG3-10A01-48DC;117186;;
Реле перегрузки тепловое OptiStart TU3/32-0,6;117475;;
Реле перегрузки тепловое OptiStart TU3/32-1,2;117477;;
Реле перегрузки тепловое OptiStart TU3/32-1,8;117478;;
Реле перегрузки тепловое OptiStart TU3/32-4;117480;;
Реле перегрузки тепловое OptiStart TU3/32-9;117482;;
Контактор релейный OptiStart K3-07ND31=60DC;117334;;
Контактор релейный OptiStart K3-07ND22=60DC;117338;;
Контактор релейный OptiStart K3-07ND04=60DC;117342;;
Контактор OptiStart K3-18ND01-110AC;116938;;
Мини-контактор реверсивный OptiStart K1W-12D00-40MC-24AC;117145;;
Мини-контактор OptiStart K1-12D00-40-24AC/DC;117582;;
Мини-контактор OptiStart K1-12D00-40-230AC/DC;117583;;
Реле перегрузки тепловое OptiStart TU3/32-6;117481;;
Реле перегрузки тепловое OptiStart TU3/32-0,27;117473;;
Мини-контактор реверсивный OptiStart K1W-09D00-40MC=24DC;117381;;
Защелка для контакторов OptiStart K2-L22-24;117844;;
Защелка для контакторов OptiStart K2-L40-24;117848;;
Мини-контактор реверсивный OptiStart K1W-09D00-40MC-24AC-VS;117143;;
Мини-контактор реверсивный OptiStart K1W-09D00-40MC-230AC-VS;117144;;
Механизм поворотный на дверь OptiStart MP-63R-EHN1-315;118092;;
Механизм поворотный на дверь OptiStart MP-32R-EHN1-315;116891;;
Контактор OptiStart KG3-10A10-24DC;117182;;
Контактор OptiStart KG3-10A01-24DC;117185;;
Контактор OptiStart KG3-18A10-110DC;117196;;
Контактор OptiStart KG3-18A01-110DC;117199;;
Контактор OptiStart KG3-14A10-48DC;117189;;
Контактор OptiStart KG3-14A01-48DC;117192;;
Реле перегрузки тепловое OptiStart TU3/32-14;117484;;
Защелка для контакторов OptiStart K2-L74-110;117853;;
Катушка запасная OptiStart K3-115/4.24;117616;;
Катушка запасная OptiStart K3-115/4.400;117619;;
Реле перегрузки тепловое OptiStart TU3/32-18;117485;;
Реле перегрузки тепловое OptiStart TU12/16EQ-0,6CM;117452;;
Реле перегрузки тепловое OptiStart TU12/16EQ-0,9CM;117453;;
Реле перегрузки тепловое OptiStart TU12/16EQ-1,2CM;117454;;
Реле перегрузки тепловое OptiStart TU12/16EQ-1,8CM;117455;;
Реле перегрузки тепловое OptiStart TU12/16EQ-2,7CM;117456;;
Реле перегрузки тепловое OptiStart TU12/16EQ-4CM;117457;;
Реле перегрузки тепловое OptiStart TU12/16EQ-6CM;117458;;
Реле перегрузки тепловое OptiStart TU12/16EQ-0,6C;117462;;
Реле перегрузки тепловое OptiStart TU12/16EQ-0,9C;117463;;
Реле перегрузки тепловое OptiStart TU12/16EQ-1,2C;117464;;
Реле перегрузки тепловое OptiStart TU12/16EQ-1,8C;117465;;
Реле перегрузки тепловое OptiStart TU12/16EQ-2,7C;117466;;
Реле перегрузки тепловое OptiStart TU12/16EQ-4C;117467;;
Реле перегрузки тепловое OptiStart TU12/16EQ-6C;117468;;
Контактор OptiStart KG3-14A01-24DC;117191;;
Защелка для контакторов OptiStart K2-L74-24;117852;;
Контактор OptiStart K3-18NA00-40-230AC;117002;;
Контактор OptiStart K3-22ND10-24AC;116941;;
Контактор OptiStart K3-22ND01-24AC;116945;;
Мини-контактор реверсивный OptiStart K1W-09L01-MC-24AC-VS;117135;;
Мини-контактор реверсивный OptiStart K1W-09L01-MC-230AC-VS;117136;;
Мини-контактор реверсивный OptiStart K1W-09L10-MC-24AC-VS;117139;;
Мини-контактор реверсивный OptiStart K1W-09L10-MC-230AC-VS;117140;;
Мини-контактор реверсивный OptiStart K1W-09L01-MC=24DC;117379;;
Механизм поворотный на дверь OptiStart MP-32R-EHN1-115;116890;;
Контактор OptiStart KG3-18A10-48DC;117195;;
Контактор OptiStart KG3-18A01-48DC;117198;;
Крышка клеммная OptiStart LG10404;117877;;
Мини-контактор реверсивный OptiStart K1W-09D10-MC=24DC;117369;;
Мини-контактор реверсивный OptiStart K1W-09D01-MC=24DC;117371;;
Мини-контактор реверсивный OptiStart K1W-12D01-MC-230AC;117130;;
Мини-контактор реверсивный OptiStart K1W-09D00-40MC=24DC-VS;117382;;
Реле перегрузки тепловое OptiStart TU12/16EQ-9CM;117459;;
Реле перегрузки тепловое OptiStart TU12/16EQ-11CM;117460;;
Реле перегрузки тепловое OptiStart TU12/16EQ-9C;117469;;
Реле перегрузки тепловое OptiStart TU12/16EQ-11C;117470;;
Реле перегрузки тепловое OptiStart TU12/16EQ-14C;117471;;
Контактор OptiStart K3-22NA00-40-110AC;117005;;
Мини-контактор реверсивный OptiStart K1W-09L10-MC-230AC/DC;117597;;
Контактор OptiStart K3-22NA00-40-24AC;117004;;
Мини-контактор реверсивный OptiStart K1W-09D10-MC-230AC;117118;;
Мини-контактор реверсивный OptiStart K1W-09D01-MC-230AC;117126;;
Мини-контактор реверсивный OptiStart K1W-09L01-MC-24AC/DC;117594;;
Мини-контактор реверсивный OptiStart K1W-09L01-MC-230AC/DC;117595;;
Мини-контактор реверсивный OptiStart K1W-09L10-MC-24AC/DC;117596;;
Мини-контактор реверсивный OptiStart K1W-09D10-MC-24AC/DC;117586;;
Мини-контактор реверсивный OptiStart K1W-09D01-MC-24AC/DC;117590;;
Контактор OptiStart K3-22ND10=110DC;117256;;
Контактор OptiStart K3-24A00=110DC;117264;;
Контактор OptiStart K3-22ND10-230AC;116943;;
Контактор OptiStart KG3-18A10-24DC;117194;;
Контактор OptiStart KG3-18A01-24DC;117197;;
Контактор OptiStart K3-18ND10=24DC;117246;;
Контактор OptiStart K3-18ND01=24DC;117250;;
Мини-контактор реверсивный OptiStart K1W-09D00-40MC-24AC/DC;117598;;
Мини-контактор реверсивный OptiStart K1W-09D00-40MC-230AC/DC;117599;;
Контактор OptiStart K3-22ND10=60DC;117255;;
Контактор OptiStart K3-22ND01=60DC;117259;;
Контактор OptiStart K3-24A00=60DC;117263;;
Контактор OptiStart K2-23A00-40-110AC;117009;;
Мини-контактор реверсивный OptiStart K1W-12D10-MC-230AC;117122;;
Контактор OptiStart K2-23A00-40-24AC;117008;;
Мини-контактор реверсивный OptiStart K1W-12D00-40MC-24AC-VS;117147;;
Мини-контактор реверсивный OptiStart K1W-12D00-40MC-230AC-VS;117148;;
Контактор OptiStart K3-22ND01-110AC;116946;;
Контактор OptiStart K3-22ND10-400AC;116944;;
Крышка клеммная OptiStart LG10405;117880;;
Мини-контактор реверсивный OptiStart K1W-09D10-MC-24AC-VS;117119;;
Мини-контактор реверсивный OptiStart K1W-09D01-MC-24AC-VS;117127;;
Мини-контактор реверсивный OptiStart K1W-12D00-40MC-24AC/DC;117600;;
Мини-контактор реверсивный OptiStart K1W-12D00-40MC-230AC/DC;117601;;
Контактор OptiStart KG3-22A10-110DC;117202;;
Контактор OptiStart KG3-24A00-110DC;117208;;
Контактор OptiStart KG3-22A10-48DC;117201;;
Контактор OptiStart KG3-22A01-48DC;117204;;
Таймер включения электронный OptiStart K2-TE30-60;117770;;
Таймер включения электронный OptiStart K2-TE30-250;117771;;
Мини-контактор реверсивный OptiStart K1W-12D10-MC-24AC/DC;117588;;
Катушка запасная OptiStart K3-115/4.230;117617;;
Катушка запасная OptiStart K3-115/4.110;117621;;
Контактор включения конденсаторов OptiStart K3-18NK01-230AC;117085;;
Мини-контактор реверсивный OptiStart K1W-12D01-MC-24AC/DC;117592;;
Контактор OptiStart KG3-24A00-48DC;117207;;
Мини-контактор реверсивный OptiStart K1W-12D10-MC-24AC-VS;117123;;
Мини-контактор реверсивный OptiStart K1W-12D10-MC=24DC;117373;;
Крышка клеммная OptiStart LG11457;117879;;
Мини-контактор реверсивный OptiStart K1W-12D01-MC-230AC-VS;117132;;
Крышка клеммная OptiStart LG10406;117881;;
Таймер включения электронный OptiStart K2-TE600-60;117774;;
Таймер включения электронный OptiStart K2-TE600-250;117775;;
Контактор включения конденсаторов OptiStart K3-24K00-230AC;117086;;
Реле перегрузки тепловое OptiStart TU3/42-14;117488;;
Реле перегрузки тепловое OptiStart TU3/42-42;117491;;
Контактор OptiStart K2-30A00-40-110AC;117013;;
Таймер включения электронный OptiStart K2-TE180-60;117772;;
Таймер включения электронный OptiStart K2-TE180-250;117773;;
Контактор OptiStart K2-30A00-40-24AC;117012;;
Контактор OptiStart K3-32A00=60DC;117267;;
Контактор OptiStart K3-22NA00-40-230AC;117006;;
Крышка клеммная OptiStart LG10407;117882;;
Реле перегрузки тепловое OptiStart TU3/32-32;117487;;
Контактор OptiStart K3-40A00-24AC;116957;;
Мини-контактор реверсивный OptiStart K1W-12D10-MC-230AC-VS;117124;;
Мини-контактор реверсивный OptiStart K1W-09D10-MC-230AC/DC;117587;;
Мини-контактор реверсивный OptiStart K1W-09L10-MC=24DC-VS;117378;;
Мини-контактор реверсивный OptiStart K1W-09L01-MC=24DC-VS;244457;;
Контактор OptiStart K3-40A00=60DC;117271;;
Контактор OptiStart KG3-22A10-24DC;117200;;
Контактор OptiStart KG3-22A01-24DC;117203;;
Контактор OptiStart KG3-24A00-24DC;117206;;
Контактор OptiStart K3-22ND10=24DC;117254;;
Контакт запасной OptiStart EK3-176/10;117819;;
Контактор OptiStart K3-22NA00-40-400AC;117007;;
Крышка клеммная OptiStart LG10408;117883;;
Контактор OptiStart K3-22ND10=220DC;117257;;
Контактор OptiStart K3-22ND01=220DC;117261;;
Контактор OptiStart K3-40A00=110DC;117272;;
Контактор OptiStart K3-32A00-230AC;116955;;
Контактор OptiStart K2-23A00-40-400AC;117011;;
Контактор включения конденсаторов OptiStart K3-32K00-400AC;267694;;
Шина OptiStart STU840/550;117517;;
Мини-контактор реверсивный OptiStart K1W-12D00-40MC=24DC;117383;;
Контактор OptiStart KG3-32A00-110DC;117211;;
Крышка клеммная OptiStart LG10409;117884;;
Мини-контактор реверсивный OptiStart K1W-12D01-MC=24DC-VS;117376;;
Мини-контактор реверсивный OptiStart K1W-12D10-MC-230AC/DC;117589;;
Мини-контактор реверсивный OptiStart K1W-12D01-MC-230AC/DC;117593;;
Контактор OptiStart KG3-32A00-48DC;117210;;
Контактор OptiStart KG3-40A00-48DC;117213;;
Контактор OptiStart KG3-40A00-110DC;117214;;
Контактор OptiStart K2-37A00-40-110AC;117017;;
Контактор OptiStart K2-37A00-40-24AC;117016;;
Мини-контактор реверсивный OptiStart K1W-09D10-MC=24DC-VS;117370;;
Шина OptiStart STU840/860;117518;;
Блокировка механическая OptiStart LG10400H;117866;;
Блокировка механическая OptiStart LG10400V;117867;;
Контактор OptiStart K2-30A00-40-400AC;117015;;
Мини-контактор реверсивный OptiStart K1W-12D00-40MC=24DC-VS;117384;;
Контактор включения конденсаторов OptiStart K3-50K00-230AC;117088;;
Контактор OptiStart K3-50A00=48DC;117216;;
Контактор OptiStart K3-50A00-230AC;116963;;
Контакт запасной OptiStart EK3-210/10;117821;;
Мини-контактор реверсивный OptiStart K1W-12D10-MC=24DC-VS;117374;;
Контакт дополнительный OptiStart NP325;117802;;
Контактор OptiStart K3-32A00=24DC;117266;;
Контактор OptiStart K3-50A00-40-24AC;298973;;
Контакт запасной OptiStart EK3-260/10;117822;;
Реле перегрузки тепловое OptiStart TU3/74-28;117492;;
Реле перегрузки тепловое OptiStart TU3/74-42;117493;;
Реле перегрузки тепловое OptiStart TU3/74-52;117494;;
Блок контактов вспомогательный OptiStart HKB11;117760;;
Контактор OptiStart KG3-40A00-24DC;117212;;
Контактор OptiStart K3-50A00-110AC;116962;;
Контактор OptiStart K3-40A00=220DC;117273;;
Контактор OptiStart K2-37A00-40-230AC;117018;;
Контактор включения конденсаторов OptiStart K3-62K00-230AC;117089;;
Контактор OptiStart K2-37A00-40-400AC;117019;;
Реле перегрузки тепловое OptiStart TU85-90;117497;;
Контакт запасной OptiStart EK3-316/10;117824;;
Контактор OptiStart K3-62A00=110DC;117220;;
Катушка запасная OptiStart K3-176/4.400;117627;;
Катушка запасная OptiStart K3-176/4.24;117643;;
Контакт запасной OptiStart EK3-450/10;117825;;
Контакт дополнительный OptiStart NP500;117803;;
Контакт дополнительный OptiStart NP501;117805;;
Контактор OptiStart K3-50A00=24DC;117215;;
Контактор OptiStart K3-62A00-230AC;116967;;
Контакт дополнительный OptiStart NP760;117804;;
Контактор OptiStart K3-74A00=24DC;117221;;
Контактор включения конденсаторов OptiStart K3-74K00-230AC;117090;;
Контактор OptiStart K3-62A00-400AC;116968;;
Контакт запасной OptiStart EK3-550/10;117826;;
Блокировка механическая OptiStart LG10399V;117869;;
Блокировка механическая OptiStart LG10402H;117870;;
Блокировка механическая OptiStart LG10402V;117871;;
Реле перегрузки тепловое OptiStart TU85-120;117498;;
Контактор OptiStart K3-74A00=48DC;117222;;
Катушка запасная OptiStart K3-176/4.230;117622;;
Катушка запасная OptiStart K3-176/4.110;117626;;
Выпрямитель мостовой OptiStart K-FS-799 для катушки F-500..F-1000;335934;;
Контактор OptiStart K3-74A00-230AC;116971;;
Контактор OptiStart K3-90A00-400AC;116973;;
Контактор OptiStart K3-90A00-230AC/DC;117533;;
Контактор OptiStart K3-90A00-48AC/DC;117165;;
Контакт дополнительный OptiStart NP1000;117806;;
Контактор включения конденсаторов OptiStart K3-90K00-230AC;117091;;
Контакт дополнительный OptiStart NP1001;117807;;
Контактор включения конденсаторов OptiStart K3-115K00-230AC;117092;;
Контактор OptiStart K3-151A00-24AC/DC;117537;;
Контакт запасной OptiStart EK3-700/10;117827;;
Блокировка механическая OptiStart LG10399H;117868;;
Катушка запасная OptiStart K3-550/4.24;117646;;
Катушка запасная OptiStart K3-550/4.400;117649;;
Контактор OptiStart K3-115A00-400AC;116974;;
Контактор OptiStart K3-176A00-24AC/DC;117540;;
Катушка запасная OptiStart K3-316/4.24;117623;;
Катушка запасная OptiStart K3-316/4.400;117650;;
Контактор OptiStart K3-116A00-40-110AC;117029;;
Контактор OptiStart K3-116A00-40-24AC;117028;;
Контактор OptiStart K3-151A00-40-24AC;117032;;
Контакт запасной OptiStart EK3-860/10;117828;;
Контактор OptiStart K3-176A00-48AC/DC;117168;;
Контактор OptiStart K3-151A00-40-110AC;117033;;
Контактор OptiStart K3-151A00-230AC/DC;117539;;
Контактор OptiStart K3-151A00-110AC/DC;117538;;
Блокировка механическая OptiStart LG10401V;117873;;
Контактор OptiStart K3-151A00-400AC;116975;;
Катушка запасная OptiStart K3-550/4.110;117651;;
Блокировка механическая OptiStart LG10403H;117874;;
Блокировка механическая OptiStart LG10403V;117875;;
Контактор OptiStart K3-176A00-40-24AC;117036;;
Контактор OptiStart K3-176A00-110AC/DC;117541;;
Катушка запасная OptiStart K3-860/4.24;117731;;
Катушка запасная OptiStart K3-860/4.400;117734;;
Контактор OptiStart K3-176A00-400AC;116976;;
Контактор OptiStart K3-176A00-40-110AC;117037;;
Контактор OptiStart K3-176A00-230AC/DC;117542;;
Реле перегрузки тепловое OptiStart TU320-216;117500;;
Катушка запасная OptiStart K3-316/4.110;117625;;
Катушка запасная OptiStart K3-316/4.230;117648;;
Контактор OptiStart K3-116A00-40-400AC;117031;;
Контактор OptiStart K3-116A00-40-230AC;117030;;
Реле перегрузки тепловое OptiStart TU320-320;117501;;
Контактор OptiStart K3-151A00-40-230AC;117034;;
Контактор OptiStart K3-151A00-40-400AC;117035;;
Контакт запасной OptiStart EK3-1000/10;117829;;
Контактор OptiStart K3-210A00-24AC/DC;117543;;
Катушка запасная OptiStart K3-1200/4.110;117709;;
Контактор OptiStart K3-210A00-48AC/DC;117169;;
Блокировка механическая OptiStart LG10401H;117872;;
Контактор OptiStart K3-176A00-40-230AC;117038;;
Реле перегрузки тепловое OptiStart TU800-360;117502;;
Катушка запасная OptiStart K3-860/4.110;117732;;
Катушка запасная OptiStart K3-860/4.230;117733;;
Контактор OptiStart K3-176A00-40-400AC;117039;;
Контактор OptiStart K3-210A00-40-24AC;117040;;
Контактор OptiStart K3-260A00-24AC/DC;117546;;
Контактор OptiStart K3-260A00-48AC/DC;117170;;
Контактор OptiStart K3-210A00-40-110AC;117041;;
Контактор OptiStart K3-210A00-110AC/DC;117544;;
Катушка запасная OptiStart K3-1200/4.230;117710;;
Катушка запасная OptiStart K3-1200/4.400;117711;;
Реле перегрузки тепловое OptiStart TU180-180;117499;;
Контакт запасной OptiStart EK3-1200/10;117830;;
Реле перегрузки тепловое OptiStart TU800-540;117503;;
Реле перегрузки тепловое OptiStart TU800-800;117504;;
Контактор OptiStart K3-260A00-110AC/DC;117547;;
Контактор OptiStart K3-260A00-230AC/DC;117548;;
Контактор OptiStart K3-210A00-40-230AC;117042;;
Контактор OptiStart K3-210A00-40-400AC;117043;;
Контактор OptiStart K3-316A00-48AC/DC;117171;;
Контактор OptiStart K3-450A22-24AC/DC;117552;;
Контактор OptiStart K3-260A00-400AC;116978;;
Контактор OptiStart K3-260A00-40-24AC;117044;;
Контактор OptiStart K3-260A00-40-110AC;117045;;
Контактор OptiStart K3-450A22-48AC/DC;117172;;
Контактор OptiStart K3-316A00-40-24AC;117048;;
Контактор OptiStart K3-316A00-110AC/DC;117550;;
Контактор OptiStart K3-316A00-230AC/DC;117551;;
Контактор OptiStart K3-316A00-40-110AC;117049;;
Контактор OptiStart K3-316A00-400AC;116979;;
Контактор OptiStart K3-550A22-24AC/DC;117555;;
Контактор OptiStart K3-550A22-48AC/DC;117173;;
Контактор OptiStart K3-450A22-110AC/DC;117553;;
Контактор OptiStart K3-260A00-40-230AC;117046;;
Контактор OptiStart K3-316A00-40-230AC;117050;;
Контактор OptiStart K3-316A00-40-400AC;117051;;
Контактор OptiStart K3-550A22-110AC/DC;117556;;
Контактор OptiStart K3-550A22-230AC/DC;117557;;
Контактор OptiStart K3-700A22-24AC/DC;117558;;
Контактор OptiStart K3-860A22-24AC/DC;117561;;
Контактор OptiStart K3-700A22-48AC/DC;117174;;
Контактор OptiStart K3-860A22-48AC/DC;117175;;
Контактор OptiStart K3-700A22-110AC/DC;117559;;
Контактор OptiStart K3-700A22-400AC;116982;;
Контактор OptiStart K3-860A22-400AC;116983;;
Контактор OptiStart K3-860A22-110AC/DC;117562;;
Контактор OptiStart K3-860A22-230AC/DC;117563;;
Контактор OptiStart K3-1000A12-24AC;116984;;
Контактор OptiStart K3-1000A12-110AC;116985;;
Контактор OptiStart K3-1200A12-24AC;116988;;
Контактор OptiStart K3-1200A12-110AC;116989;;
Контактор OptiStart K3-1000A12-230AC;116986;;
Контактор OptiStart K3-1000A12-400AC;116987;;
Контактор OptiStart K3-1200A12-230AC;116990;;
Контактор OptiStart K3-1200A12-400AC;116991;;
Ограничитель перенапряжения ОПН-123-УХЛ4-КЭАЗ;253251;;
Ограничитель перенапряжения ОПН-125-УХЛ4-КЭАЗ;253248;;
Катушка ПМЛ-1-(10-16А)-24АС-УХЛ4-И1-КЭАЗ;229793;;
Катушка ПМЛ-1-(10-16А)-36АС-УХЛ4-И1-КЭАЗ;229794;;
Катушка ПМЛ-1-(10-16А)-110АС-УХЛ4-И1-КЭАЗ;229791;;
Катушка ПМЛ-2,3Д-(25-40А)-36АС-УХЛ4-И1-КЭАЗ;229800;;
Катушка ПМЛ-2,3Д-(25-40А)-110АС-УХЛ4-И1-КЭАЗ;229797;;
Катушка ПМЛ-2,3Д-(25-40А)-24АС-УХЛ4-И1-КЭАЗ;229799;;
Катушка ПМЛ-3,4,5Д-(40-100А)-110АС-УХЛ4-И1-КЭАЗ;229803;;
Катушка ПМЛ-3,4,5Д-(40-100А)-36АС-УХЛ4-И1-КЭАЗ;229806;;
Катушка ПМЛ-3,4,5Д-(40-100А)-24АС-УХЛ4-И1-КЭАЗ;229805;;
Контактор ПМЛ-М2161-9А-110AC-УХЛ4-Б-КЭАЗ;256623;;
Контактор ПМЛ-М3160-12А-110AC-УХЛ4-Б-КЭАЗ;256630;;
Контактор ПМЛ-М1160-6А-380AC-УХЛ4-Б-КЭАЗ;256606;;
Контактор ПМЛ-М2160-9А-36AC-УХЛ4-Б-КЭАЗ;256619;;
Контактор ПМЛ-М2161-9А-380AC-УХЛ4-Б-КЭАЗ;256627;;
Контактор ПМЛ-М3160-12А-36AC-УХЛ4-Б-КЭАЗ;256633;;
Ограничитель перенапряжения ОПН-124-УХЛ4-КЭАЗ;253252;;
Контактор ПМЛ-3161ДМ-40А-110AC-УХЛ4-Б-КЭАЗ;229753;;
Контактор ПМ12-010150-10А-220AC-УХЛ4-В-КЭАЗ;217128;;
Контактор ПМЛ-1110-10А-220АС-УХЛ2-Б-КЭАЗ;229710;;
Контактор ПМ12-010150-10А-380AC-УХЛ4-В-КЭАЗ;217131;;
Контактор ПМ12-010150-10А-24AC-УХЛ4-В-КЭАЗ;217129;;
Контактор ПМ12-016150-16А-220AC-УХЛ4-В-КЭАЗ;217121;;
Контактор ПМ12-016150-16А-380AC-УХЛ4-В-КЭАЗ;217123;;
Пускатель прямой OptiStart B1W10-230AC;115708;;
Блок контактов вспомогательный OptiStart HK11;117737;;
Блок контактов вспомогательный OptiStart HK20;117739;;
Контактор ПМ12-010150-10А-110AC-УХЛ4-В-КЭАЗ;217126;;
Контактор ПМ12-025100-25А-110AC-УХЛ4-В-КЭАЗ;217150;;
Пускатель прямой OptiStart B1W18-230AC;115704;;
Контактор ПМ12-010100-10А-24AC-УХЛ4-В-КЭАЗ;217113;;
Контактор ПМ12-010100-10А-42AC-УХЛ4-В-КЭАЗ;217116;;
Контактор ПМ12-010100-10А-48AC-УХЛ4-В-КЭАЗ;217117;;
Контактор ПМ12-010100-10А-660AC-УХЛ4-В-КЭАЗ;217118;;
Контактор ПМ12-010150-10А-127AC-УХЛ4-В-КЭАЗ;217127;;
Контактор ПМ12-010150-10А-36AC-УХЛ4-В-КЭАЗ;217130;;
Контактор ПМ12-010150-10А-48AC-УХЛ4-В-КЭАЗ;217133;;
Контактор ПМ12-010151-10А-24AC-УХЛ4-В-КЭАЗ;266231;;
Контактор ПМЛ-1165М-10А-110DC-УХЛ4-Б-КЭАЗ;227142;;
Контактор ПМ12-025100-25А-48AC-УХЛ4-В-КЭАЗ;217157;;
Контактор ПМ12-025150-25А-42AC-УХЛ4-В-КЭАЗ;217163;;
Выключатель автоматический OptiStart MP-32R-0,16;115760;;
Контактор ПМ12-016150-16А-110AC-УХЛ4-В-КЭАЗ;217120;;
Контактор ПМЛ-2110-25А-220АС-УХЛ2-Б-КЭАЗ;229738;;
Контактор ПМ12-016150-16А-36AC-УХЛ4-В-КЭАЗ;217122;;
Контактор ПМ12-016150-16А-42AC-УХЛ4-В-КЭАЗ;217124;;
Контактор ПМ12-016150-16А-48AC-УХЛ4-В-КЭАЗ;217125;;
Контактор ПМ12-016150-16А-24AC-УХЛ4-В-КЭАЗ;252771;;
Супрессор OptiStart RC-K3NW 24;230881;;
Контактор ПМЛ-2511-25А-220АС-УХЛ2-Б-КЭАЗ;229742;;
Контактор ПМЛ-1165ДМ-16А-110DC-УХЛ4-Б-КЭАЗ;253190;;
Контактор ПМ12-025100-25А-127АС-УХЛ4-В-КЭАЗ;217151;;
Контактор ПМ12-025150-25А-24AC-УХЛ4-В-КЭАЗ;217160;;
Контактор ПМ12-025150-25А-36AC-УХЛ4-В-КЭАЗ;217161;;
Контактор ПМ12-025150-25А-660AC-УХЛ4-В-КЭАЗ;217164;;
Контактор ПМ12-010500-10А-220AC-УХЛ4-В-КЭАЗ;217135;;
Блок контактов вспомогательный OptiStart HKM22;117745;;
Мини-контактор OptiStart K1-09D01=24DC;117347;;
Контактор ПМ12-016550-16А-220AC-УХЛ4-В-КЭАЗ;217141;;
Контактор ПМЛ-2165М-25А-110DC-УХЛ4-Б-КЭАЗ;227148;;
Мини-контактор OptiStart K1-12D10-230AC;148961;;
Контактор OptiStart K3-10ND01-230AC;116923;;
Реле импульсное OptiRel C RI-41;281192;;
Контактор ПМЛ-1166М-10А-110DC-УХЛ4-Б-КЭАЗ;253180;;
Контактор ПМ12-025500-25А-220AC-УХЛ4-В-КЭАЗ;217166;;
Контактор OptiStart K3-22ND01=110DC;117260;;
Контактор ПМ12-040150-40А-220AC-УХЛ4-В-КЭАЗ;217184;;
Контактор ПМЛ-1166ДМ-16А-110DC-УХЛ4-Б-КЭАЗ;253191;;
Мини-контактор OptiStart K1-09D01-24AC/DC;117568;;
Контактор ПМ12-010550-10А-110AC-УХЛ4-В-КЭАЗ;217144;;
Контактор ПМ12-040150-40А-380AC-УХЛ4-В-КЭАЗ;217187;;
