Наименование;Артикул;Замена;АЗамена
Выключатель автоматический АП50Б-2МТ-4А-3,5Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107110;;
Выключатель автоматический АП50Б-2МТ-6,3А-3,5Iн-400AC/220DC-IP54Ф-У2-КЭАЗ;107111;;
Выключатель автоматический АП50Б-3М-10А-10Iн-400AC-IP54Ф-У2-КЭАЗ;107160;;
Выключатель автоматический АП50Б-3М-16А-10Iн-400AC-IP54Ф-У2-КЭАЗ;107161;;
Выключатель автоматический АП50Б-3М-6,3А-10Iн-400AC-IP54Ф-У2-КЭАЗ;107163;;
Выключатель автоматический АП50Б-3МТ-16А-10Iн-400AC-2П-IP54Ф-У2-КЭАЗ;107434;;
Выключатель автоматический АП50Б-3МТ-25А-10Iн-400AC-2П-IP54Ф-У2-КЭАЗ;107435;;
Выключатель автоматический АП50Б-3МТ-6,3А-10Iн-400AC-2П-IP54Ф-У2-КЭАЗ;107436;;
Выключатель автоматический АП50Б-3МТ-1,6А-10Iн-400AC-1П-IP54Ф-У2-КЭАЗ;107441;;
Выключатель автоматический АП50Б-3МТ-1,6А-10Iн-400AC-IP54Ф-У2-КЭАЗ;107463;;
Выключатель автоматический АП50Б-3МТ-10А-10Iн-400AC-IP54Ф-У2-КЭАЗ;107464;;
Выключатель автоматический АП50Б-3МТ-16А-10Iн-400AC-IP54Ф-У2-КЭАЗ;107465;;
Выключатель автоматический АП50Б-3МТ-25А-10Iн-400AC-IP54Ф-У2-КЭАЗ;107467;;
Выключатель автоматический АП50Б-3МТ-4А-10Iн-400AC-IP54Ф-У2-КЭАЗ;107468;;
Выключатель автоматический АП50Б-3МТ-6,3А-10Iн-400AC-IP54Ф-У2-КЭАЗ;107469;;
Выключатель автоматический АП50Б-3МТ-2,5А-3,5Iн-400AC-1П-IP54Ф-У2-КЭАЗ;107491;;
Выключатель автоматический АП50Б-3МТ-25А-3,5Iн-400AC-1П-IP54Ф-У2-КЭАЗ;107492;;
Выключатель автоматический АП50Б-3МТ-1,6А-3,5Iн-400AC-IP54Ф-У2-КЭАЗ;107493;;
Выключатель автоматический АП50Б-3МТ-10А-3,5Iн-400AC-IP54Ф-У2-КЭАЗ;107494;;
Выключатель автоматический АП50Б-3МТ-16А-3,5Iн-400AC-IP54Ф-У2-КЭАЗ;107495;;
