110560;Контактор ПМЛ-1500-10А-380AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110561;Контактор ПМЛ-1500-10А-42AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110562;Контактор ПМЛ-1560ДМ-16А-220AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 7.5
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 32
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110563;Контактор ПМЛ-1560ДМ-16А-36AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 7.5
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 32
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110564;Контактор ПМЛ-1560ДМ-16А-380AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 7.5
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 32
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110565;Контактор ПМЛ-1560М-10А-110AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110566;Контактор ПМЛ-1560М-10А-220AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110567;Контактор ПМЛ-1560М-10А-24AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110568;Контактор ПМЛ-1560М-10А-380AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 4
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 20
146 | Габариты изделия: Ширина (мм) = 107
148 | Габариты изделия: Высота (мм) = 80
149 | Габариты изделия: Глубина (мм) = 92"
110569;Контактор ПМЛ-2100-25А-110AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
110570;Контактор ПМЛ-2100-25А-220AC-УХЛ4-Б-КЭАЗ;"272 | Мощность двигателя Р (kW)  для AC3, V=380AC = 11
552 | Номинальный рабочий ток Ie (А) для AC1, V=400AC = 40
146 | Габариты изделия: Ширина (мм) = 57
148 | Габариты изделия: Высота (мм) = 84
149 | Габариты изделия: Глубина (мм) = 94"
