Наименование;Артикул
Выключатель АК50Б-2МГОМ3, 50Гц, 6,3А, 6Iн, ТУ16-522.136-78;104961
Выключатель АК50Б-2МГОМ3, 50Гц, 6,3А, 6Iн, условие - 01, ТУ16-522.136-78;104960
Выключатель АК50Б-2МГОМ3, 50Гц, 8А, 6Iн, ТУ16-522.136-78;104969
Выключатель АК50Б-2МГОМ3, 50Гц, 8А, 6Iн, условие - 01, ТУ16-522.136-78;104968
Выключатель АК50Б-2МГОМ2, 50Гц, 10А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;377821
Выключатель АК50Б-2МГОМ2, 50Гц, 16А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;247135
Выключатель АК50Б-2МГОМ2, 50Гц, 25А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;104971
Выключатель АК50Б-2МГОМ2, 50Гц, 4А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;104972
Выключатель АК50Б-2МГОМ2, 50Гц, 5А, 6Iн, IP54 (с кабельными вводами), ТУ16-522.136-78;263707
Выключатель АК50Б-2МГОМ2, 50Гц, 16А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;104973
Выключатель АК50Б-2МГОМ2, 50Гц, 25А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;104976
Выключатель АК50Б-2МГОМ2, 50Гц, 40А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;104978
Выключатель АК50Б-2МГОМ2, 50Гц, 50А, 6Iн, IP54 (с сальниками), ТУ16-522.136-78;289321
Выключатель АК50Б-2МГОМ3, постоянный, 1А, 6Iн, ТУ16-522.136-78;104984
Выключатель АК50Б-2МГОМ3, постоянный, 1А, 6Iн, условие - 01, ТУ16-522.136-78;104983
Выключатель АК50Б-2МГОМ3, постоянный, 10А, 6Iн, ТУ16-522.136-78;104990
Выключатель АК50Б-2МГОМ3, постоянный, 10А, 6Iн, условие - 01, ТУ16-522.136-78;104989
Выключатель АК50Б-2МГОМ3, постоянный, 16А, 6Iн, ТУ16-522.136-78;104996
Выключатель АК50Б-2МГОМ3, постоянный, 16А, 6Iн, условие - 01, ТУ16-522.136-78;104995
Выключатель АК50Б-2МГОМ3, постоянный, 2А, 6Iн, ТУ16-522.136-78;104997
Выключатель АК50Б-2МГОМ3, постоянный, 2А, 6Iн, условие - 01, ТУ16-522.136-78;104998
Выключатель АК50Б-2МГОМ3, постоянный, 20А, 6Iн, ТУ16-522.136-78;105002
Выключатель АК50Б-2МГОМ3, постоянный, 20А, 6Iн, условие - 01, ТУ16-522.136-78;105003
Выключатель АК50Б-2МГОМ3, постоянный, 25А, 6Iн, ТУ16-522.136-78;105012
